COVERAGE,YEAR,MONTH,PRODUCT_GROUP,PRODUCT,MEASUREMENT_UNIT,VOLUME,VALUE,INDEX,STATUS
National,2001,February,Non-Ferrous Industrial Metals,Arsenic,Tons,191.0,1458.77,446.784,Final Figures.
National,2001,February,Non-Ferrous Industrial Metals,Bismuth,Tons,87.0,6984.622,92.226,Final Figures.
National,2001,February,Non-Ferrous Industrial Metals,Tin,Tons,1.0,60.399,88.0,Final Figures.
National,2001,February,Non-Ferrous Industrial Metals,Cadmium,Tons,103.0,392.302,79.742,Final Figures.
National,2001,February,Non-Ferrous Industrial Metals,Molybdenum,Tons,700.0,32730.88,107.527,Final Figures.
National,2001,February,Steel Metals and Minerals,Non-Coking Coal,Tons,630674.0,190652.876,72.751,Final Figures.
National,2001,February,Steel Metals and Minerals,Coke,Tons,166830.0,252945.978,129.376,Final Figures.
National,2001,February,Steel Metals and Minerals,Iron Pellets,Tons,470643.0,112422.544,73.101,Final Figures.
National,2001,February,Steel Metals and Minerals,Manganese,Tons,12294.0,11982.32,86.828,Final Figures.
National,2001,February,Non-Metallic Minerals,Sulfur,Tons,66962.0,46074.316,77.182,Final Figures.
National,2001,February,Non-Metallic Minerals,Graphite,Tons,2837.0,6211.046,470.937,Final Figures.
National,2001,February,Non-Metallic Minerals,Barite,Tons,12779.0,9530.652,109.483,Final Figures.
National,2001,February,Non-Metallic Minerals,Dolomite,Tons,57738.0,11489.763,56.147,Final Figures.
National,2001,February,Non-Metallic Minerals,Fluorite,Tons,62716.0,67452.869,71.157,Final Figures.
National,2001,February,Non-Metallic Minerals,Kaolin,Tons,7802.0,5732.186,110.027,Final Figures.
National,2001,February,Non-Metallic Minerals,Silica Sand,Tons,148195.0,32109.698,63.99,Final Figures.
National,2001,February,Non-Metallic Minerals,Gypsum,Tons,302607.0,38068.472,70.714,Final Figures.
National,2001,February,Non-Metallic Minerals,Phosphate Rock,Tons,85040.0,31097.886,105.302,Final Figures.
National,2001,February,Non-Metallic Minerals,Wollastonite,Tons,939.0,1832.117,24.054,Final Figures.
National,2001,February,Non-Metallic Minerals,Celestite,Tons,13230.0,6944.956,535.971,Final Figures.
National,2001,February,Non-Metallic Minerals,Feldspar,Tons,25502.0,11365.3,68.689,Final Figures.
National,2001,February,Non-Metallic Minerals,Salt,Tons,659244.0,73828.736,89.808,Final Figures.
National,2001,February,Non-Metallic Minerals,Diatomite,Tons,4833.0,8630.771,45.12,Final Figures.
National,2001,February,Non-Metallic Minerals,Sodium Sulfate,Tons,35000.0,26894.0,67.961,Final Figures.
National,2001,February,Non-Metallic Minerals,Magnesium Sulfate,Tons,809.0,701.25,22.549,Final Figures.
National,2001,March,Precious Metals,Gold,Kilograms,1137.2,92727.111,27.09,Final Figures.
National,2001,March,Precious Metals,Silver,Kilograms,212411.0,289823.072,95.536,Final Figures.
National,2001,March,Non-Ferrous Industrial Metals,Lead,Tons,11194.0,53615.519,133.361,Final Figures.
National,2001,March,Non-Ferrous Industrial Metals,Copper,Tons,33754.0,603468.325,150.788,Final Figures.
National,2001,March,Non-Ferrous Industrial Metals,Zinc,Tons,37137.0,389617.34,112.166,Final Figures.
National,2001,March,Non-Ferrous Industrial Metals,Antimony,Tons,25.0,0.0,78.947,Final Figures.
National,2001,March,Non-Ferrous Industrial Metals,Arsenic,Tons,184.0,1403.438,430.409,Final Figures.
National,2001,March,Non-Ferrous Industrial Metals,Bismuth,Tons,120.0,9686.547,127.208,Final Figures.
National,2001,March,Non-Ferrous Industrial Metals,Tin,Tons,1.0,56.301,88.0,Final Figures.
National,2001,March,Non-Ferrous Industrial Metals,Cadmium,Tons,97.0,387.962,78.194,Final Figures.
National,2001,March,Non-Ferrous Industrial Metals,Molybdenum,Tons,464.0,21767.854,71.275,Final Figures.
National,2001,March,Steel Metals and Minerals,Non-Coking Coal,Tons,530696.0,160429.527,61.219,Final Figures.
National,2001,March,Steel Metals and Minerals,Coke,Tons,185495.0,285491.645,143.851,Final Figures.
National,2001,March,Steel Metals and Minerals,Iron Pellets,Tons,464467.0,122633.242,72.141,Final Figures.
National,2001,March,Steel Metals and Minerals,Manganese,Tons,19775.0,19248.025,139.664,Final Figures.
National,2001,March,Non-Metallic Minerals,Sulfur,Tons,71021.0,48802.396,81.862,Final Figures.
National,2001,March,Non-Metallic Minerals,Graphite,Tons,2660.0,5815.794,441.555,Final Figures.
National,2001,March,Non-Metallic Minerals,Barite,Tons,12450.0,9272.931,106.664,Final Figures.
National,2001,March,Non-Metallic Minerals,Dolomite,Tons,61838.0,12305.663,60.135,Final Figures.
National,2001,March,Non-Metallic Minerals,Fluorite,Tons,64380.0,69150.449,73.045,Final Figures.
National,2001,March,Non-Metallic Minerals,Kaolin,Tons,7807.0,5696.476,110.097,Final Figures.
National,2001,March,Non-Metallic Minerals,Silica Sand,Tons,171194.0,36838.394,73.921,Final Figures.
National,2001,March,Non-Metallic Minerals,Gypsum,Tons,291318.0,36396.667,68.076,Final Figures.
National,2001,March,Non-Metallic Minerals,Phosphate Rock,Tons,90205.0,32942.776,111.698,Final Figures.
National,2001,March,Non-Metallic Minerals,Wollastonite,Tons,1113.0,2171.614,28.512,Final Figures.
National,2001,March,Non-Metallic Minerals,Celestite,Tons,14265.0,7488.269,577.901,Final Figures.
National,2001,March,Non-Metallic Minerals,Feldspar,Tons,30089.0,13391.8,81.044,Final Figures.
National,2001,March,Non-Metallic Minerals,Salt,Tons,699448.0,78331.182,95.285,Final Figures.
National,2001,March,Non-Metallic Minerals,Diatomite,Tons,4144.0,7400.355,38.688,Final Figures.
National,2001,March,Non-Metallic Minerals,Sodium Sulfate,Tons,42000.0,32272.8,81.553,Final Figures.
National,2001,March,Non-Metallic Minerals,Magnesium Sulfate,Tons,2022.0,1752.692,56.358,Final Figures.
National,2001,April,Precious Metals,Gold,Kilograms,2045.7,160742.081,48.748,Final Figures.
National,2001,April,Precious Metals,Silver,Kilograms,175629.0,230930.283,78.993,Final Figures.
National,2001,April,Non-Ferrous Industrial Metals,Lead,Tons,11008.0,49092.981,131.145,Final Figures.
National,2001,April,Non-Ferrous Industrial Metals,Copper,Tons,33678.0,558746.119,150.449,Final Figures.
National,2001,April,Non-Ferrous Industrial Metals,Zinc,Tons,27277.0,269628.357,82.386,Final Figures.
National,2001,April,Non-Ferrous Industrial Metals,Antimony,Tons,8.0,0.0,25.263,Final Figures.
National,2001,April,Non-Ferrous Industrial Metals,Arsenic,Tons,207.0,1534.33,484.211,Final Figures.
National,2001,April,Non-Ferrous Industrial Metals,Bismuth,Tons,92.0,7191.048,97.527,Final Figures.
National,2001,April,Non-Ferrous Industrial Metals,Tin,Tons,0.0,12.407,24.0,Final Figures.
National,2001,April,Non-Ferrous Industrial Metals,Cadmium,Tons,96.0,374.262,74.323,Final Figures.
National,2001,April,Non-Ferrous Industrial Metals,Molybdenum,Tons,509.0,24184.405,78.187,Final Figures.
National,2001,April,Steel Metals and Minerals,Non-Coking Coal,Tons,563655.0,170393.033,65.02,Final Figures.
National,2001,April,Steel Metals and Minerals,Coke,Tons,179685.0,272774.408,139.346,Final Figures.
National,2001,April,Steel Metals and Minerals,Iron Pellets,Tons,484221.0,111002.922,75.209,Final Figures.
National,2001,April,Steel Metals and Minerals,Manganese,Tons,3591.0,3396.707,25.362,Final Figures.
National,2001,April,Non-Metallic Minerals,Sulfur,Tons,75294.0,50278.837,86.786,Final Figures.
National,2001,April,Non-Metallic Minerals,Graphite,Tons,2406.0,5112.061,399.391,Final Figures.
National,2001,April,Non-Metallic Minerals,Barite,Tons,10817.0,7829.382,92.673,Final Figures.
National,2001,April,Non-Metallic Minerals,Dolomite,Tons,62833.0,12503.667,61.102,Final Figures.
National,2001,April,Non-Metallic Minerals,Fluorite,Tons,52457.0,54754.583,59.517,Final Figures.
National,2001,April,Non-Metallic Minerals,Kaolin,Tons,7803.0,5495.84,110.041,Final Figures.
National,2001,April,Non-Metallic Minerals,Silica Sand,Tons,143599.0,29827.268,62.006,Final Figures.
National,2001,April,Non-Metallic Minerals,Gypsum,Tons,287391.0,34659.118,67.159,Final Figures.
National,2001,April,Non-Metallic Minerals,Phosphate Rock,Tons,87414.0,31022.873,108.242,Final Figures.
National,2001,April,Non-Metallic Minerals,Wollastonite,Tons,1055.0,2058.448,27.026,Final Figures.
National,2001,April,Non-Metallic Minerals,Celestite,Tons,12459.0,6540.227,504.737,Final Figures.
National,2001,April,Non-Metallic Minerals,Feldspar,Tons,26516.0,11468.6,71.421,Final Figures.
National,2001,April,Non-Metallic Minerals,Salt,Tons,657297.0,73610.691,89.543,Final Figures.
National,2001,April,Non-Metallic Minerals,Diatomite,Tons,3578.0,6389.592,33.404,Final Figures.
National,2001,April,Non-Metallic Minerals,Sodium Sulfate,Tons,32500.0,24973.0,63.107,Final Figures.
National,2001,April,Non-Metallic Minerals,Magnesium Sulfate,Tons,1887.0,1635.673,52.596,Final Figures.
National,2001,May,Precious Metals,Gold,Kilograms,2256.8,181313.677,53.775,Final Figures.
National,2001,May,Precious Metals,Silver,Kilograms,261167.0,341066.071,117.465,Final Figures.
National,2001,May,Non-Ferrous Industrial Metals,Lead,Tons,12097.0,51602.016,144.119,Final Figures.
National,2001,May,Non-Ferrous Industrial Metals,Copper,Tons,27955.0,457227.676,124.883,Final Figures.
National,2001,May,Non-Ferrous Industrial Metals,Zinc,Tons,37722.0,352265.845,113.933,Final Figures.
National,2001,May,Non-Ferrous Industrial Metals,Antimony,Tons,1.0,0.0,3.158,Final Figures.
National,2001,May,Non-Ferrous Industrial Metals,Arsenic,Tons,239.0,1733.774,559.064,Final Figures.
National,2001,May,Non-Ferrous Industrial Metals,Bismuth,Tons,144.0,10991.824,152.65,Final Figures.
National,2001,May,Non-Ferrous Industrial Metals,Tin,Tons,0.0,0.047,0.0,Final Figures.
National,2001,May,Non-Ferrous Industrial Metals,Cadmium,Tons,99.0,474.793,76.645,Final Figures.
National,2001,May,Non-Ferrous Industrial Metals,Molybdenum,Tons,470.0,22890.528,72.197,Final Figures.
National,2001,May,Steel Metals and Minerals,Non-Coking Coal,Tons,544946.0,164737.302,62.862,Final Figures.
National,2001,May,Steel Metals and Minerals,Coke,Tons,187712.0,277308.815,145.57,Final Figures.
National,2001,May,Steel Metals and Minerals,Iron Pellets,Tons,475902.0,101552.667,73.917,Final Figures.
National,2001,May,Steel Metals and Minerals,Manganese,Tons,1264.0,1170.135,8.927,Final Figures.
National,2001,May,Non-Metallic Minerals,Sulfur,Tons,76931.0,50277.668,88.672,Final Figures.
National,2001,May,Non-Metallic Minerals,Graphite,Tons,2833.0,5891.056,470.273,Final Figures.
National,2001,May,Non-Metallic Minerals,Barite,Tons,10339.0,7323.951,88.578,Final Figures.
National,2001,May,Non-Metallic Minerals,Dolomite,Tons,54890.0,10923.11,53.378,Final Figures.
National,2001,May,Non-Metallic Minerals,Fluorite,Tons,66503.0,67936.707,75.454,Final Figures.
National,2001,May,Non-Metallic Minerals,Kaolin,Tons,7809.0,5351.843,110.126,Final Figures.
National,2001,May,Non-Metallic Minerals,Silica Sand,Tons,144625.0,29230.724,62.449,Final Figures.
National,2001,May,Non-Metallic Minerals,Gypsum,Tons,369144.0,43318.687,86.263,Final Figures.
National,2001,May,Non-Metallic Minerals,Phosphate Rock,Tons,82481.0,28648.596,102.134,Final Figures.
National,2001,May,Non-Metallic Minerals,Wollastonite,Tons,1486.0,2899.388,38.067,Final Figures.
National,2001,May,Non-Metallic Minerals,Celestite,Tons,15186.0,7971.739,615.212,Final Figures.
National,2001,May,Non-Metallic Minerals,Feldspar,Tons,27323.0,11565.9,73.594,Final Figures.
National,2001,May,Non-Metallic Minerals,Salt,Tons,716652.0,80257.857,97.629,Final Figures.
National,2001,May,Non-Metallic Minerals,Diatomite,Tons,3878.0,6925.332,36.205,Final Figures.
National,2001,May,Non-Metallic Minerals,Sodium Sulfate,Tons,45000.0,34578.0,87.379,Final Figures.
National,2001,May,Non-Metallic Minerals,Magnesium Sulfate,Tons,2022.0,1752.692,56.358,Final Figures.
National,2001,June,Precious Metals,Gold,Kilograms,2001.5,158823.824,47.7,Final Figures.
National,2001,June,Precious Metals,Silver,Kilograms,192772.0,246105.809,86.703,Final Figures.
National,2001,June,Non-Ferrous Industrial Metals,Lead,Tons,11234.0,45364.763,133.838,Final Figures.
National,2001,June,Non-Ferrous Industrial Metals,Copper,Tons,28122.0,433479.176,125.629,Final Figures.
National,2001,June,Non-Ferrous Industrial Metals,Zinc,Tons,35567.0,316124.368,107.425,Final Figures.
National,2001,June,Non-Ferrous Industrial Metals,Antimony,Tons,0.0,0.0,0.0,Final Figures.
National,2001,June,Non-Ferrous Industrial Metals,Arsenic,Tons,224.0,1616.373,523.977,Final Figures.
National,2001,June,Non-Ferrous Industrial Metals,Bismuth,Tons,120.0,9106.538,127.208,Final Figures.
National,2001,June,Non-Ferrous Industrial Metals,Tin,Tons,1.0,44.117,80.0,Final Figures.
National,2001,June,Non-Ferrous Industrial Metals,Cadmium,Tons,124.0,622.271,96.0,Final Figures.
National,2001,June,Non-Ferrous Industrial Metals,Molybdenum,Tons,363.0,18117.707,55.76,Final Figures.
National,2001,June,Steel Metals and Minerals,Non-Coking Coal,Tons,489572.0,147997.742,56.475,Final Figures.
National,2001,June,Steel Metals and Minerals,Coke,Tons,181384.0,269743.402,140.663,Final Figures.
National,2001,June,Steel Metals and Minerals,Iron Pellets,Tons,482544.0,104890.607,74.949,Final Figures.
National,2001,June,Steel Metals and Minerals,Manganese,Tons,9060.0,8342.882,63.988,Final Figures.
National,2001,June,Non-Metallic Minerals,Sulfur,Tons,79089.0,51414.491,91.16,Final Figures.
National,2001,June,Non-Metallic Minerals,Graphite,Tons,2494.0,5158.721,413.999,Final Figures.
National,2001,June,Non-Metallic Minerals,Barite,Tons,11664.0,8218.895,99.93,Final Figures.
National,2001,June,Non-Metallic Minerals,Dolomite,Tons,54810.0,10907.19,53.3,Final Figures.
National,2001,June,Non-Metallic Minerals,Fluorite,Tons,66782.0,67861.222,75.77,Final Figures.
National,2001,June,Non-Metallic Minerals,Kaolin,Tons,7800.0,5226.137,109.999,Final Figures.
National,2001,June,Non-Metallic Minerals,Silica Sand,Tons,154786.0,30584.794,66.836,Final Figures.
National,2001,June,Non-Metallic Minerals,Gypsum,Tons,327125.0,37529.391,76.444,Final Figures.
National,2001,June,Non-Metallic Minerals,Phosphate Rock,Tons,86481.0,29879.022,107.087,Final Figures.
National,2001,June,Non-Metallic Minerals,Wollastonite,Tons,1810.0,3531.556,46.367,Final Figures.
National,2001,June,Non-Metallic Minerals,Celestite,Tons,12998.0,6823.328,526.572,Final Figures.
National,2001,June,Non-Metallic Minerals,Feldspar,Tons,31659.0,13330.5,85.273,Final Figures.
National,2001,June,Non-Metallic Minerals,Salt,Tons,714812.0,80051.796,97.378,Final Figures.
National,2001,June,Non-Metallic Minerals,Diatomite,Tons,3935.0,7027.123,36.737,Final Figures.
National,2001,June,Non-Metallic Minerals,Sodium Sulfate,Tons,40000.0,30736.0,77.67,Final Figures.
National,2001,June,Non-Metallic Minerals,Magnesium Sulfate,Tons,1977.0,1713.686,55.104,Final Figures.
National,2001,July,Precious Metals,Gold,Kilograms,1949.0,154327.372,46.437,Final Figures.
National,2001,July,Precious Metals,Silver,Kilograms,218109.0,273765.165,98.099,Final Figures.
National,2001,July,Non-Ferrous Industrial Metals,Lead,Tons,8723.0,36873.362,103.923,Final Figures.
National,2001,July,Non-Ferrous Industrial Metals,Copper,Tons,22607.0,336234.466,100.992,Final Figures.
National,2001,July,Non-Ferrous Industrial Metals,Zinc,Tons,37233.0,318858.334,112.456,Final Figures.
National,2001,July,Non-Ferrous Industrial Metals,Antimony,Tons,0.0,0.0,0.0,Final Figures.
National,2001,July,Non-Ferrous Industrial Metals,Arsenic,Tons,228.0,1657.27,533.333,Final Figures.
National,2001,July,Non-Ferrous Industrial Metals,Bismuth,Tons,109.0,8398.216,115.548,Final Figures.
National,2001,July,Non-Ferrous Industrial Metals,Tin,Tons,1.0,34.718,64.0,Final Figures.
National,2001,July,Non-Ferrous Industrial Metals,Cadmium,Tons,119.0,600.362,94.452,Final Figures.
National,2001,July,Non-Ferrous Industrial Metals,Molybdenum,Tons,692.0,33442.655,106.298,Final Figures.
National,2001,July,Steel Metals and Minerals,Non-Coking Coal,Tons,452529.0,136799.643,52.202,Final Figures.
National,2001,July,Steel Metals and Minerals,Coke,Tons,176082.0,265781.692,136.551,Final Figures.
National,2001,July,Steel Metals and Minerals,Iron Pellets,Tons,427894.0,95565.772,66.461,Final Figures.
National,2001,July,Steel Metals and Minerals,Manganese,Tons,20220.0,18755.728,142.807,Final Figures.
National,2001,July,Non-Metallic Minerals,Sulfur,Tons,81255.0,53208.838,93.656,Final Figures.
National,2001,July,Non-Metallic Minerals,Graphite,Tons,1609.0,3352.483,267.091,Final Figures.
National,2001,July,Non-Metallic Minerals,Barite,Tons,11044.0,7838.937,94.618,Final Figures.
National,2001,July,Non-Metallic Minerals,Dolomite,Tons,54790.0,10903.21,53.281,Final Figures.
National,2001,July,Non-Metallic Minerals,Fluorite,Tons,61633.0,63087.083,69.928,Final Figures.
National,2001,July,Non-Metallic Minerals,Kaolin,Tons,7812.0,5320.397,110.168,Final Figures.
National,2001,July,Non-Metallic Minerals,Silica Sand,Tons,116481.0,23395.145,50.296,Final Figures.
National,2001,July,Non-Metallic Minerals,Gypsum,Tons,315211.0,36758.245,73.66,Final Figures.
National,2001,July,Non-Metallic Minerals,Phosphate Rock,Tons,85125.0,29625.922,105.408,Final Figures.
National,2001,July,Non-Metallic Minerals,Wollastonite,Tons,4943.0,9644.465,126.625,Final Figures.
National,2001,July,Non-Metallic Minerals,Celestite,Tons,13251.0,6955.98,536.822,Final Figures.
National,2001,July,Non-Metallic Minerals,Feldspar,Tons,26082.0,11062.5,70.252,Final Figures.
National,2001,July,Non-Metallic Minerals,Salt,Tons,704876.0,78939.063,96.024,Final Figures.
National,2001,July,Non-Metallic Minerals,Diatomite,Tons,4546.0,8118.247,42.441,Final Figures.
National,2001,July,Non-Metallic Minerals,Sodium Sulfate,Tons,45000.0,34578.0,87.379,Final Figures.
National,2001,July,Non-Metallic Minerals,Magnesium Sulfate,Tons,2022.0,1752.692,56.358,Final Figures.
National,2001,August,Precious Metals,Gold,Kilograms,1177.0,94890.62,28.043,Final Figures.
National,2001,August,Precious Metals,Silver,Kilograms,215868.0,266144.095,97.091,Final Figures.
National,2001,August,Non-Ferrous Industrial Metals,Lead,Tons,10756.0,47415.782,128.143,Final Figures.
National,2001,August,Non-Ferrous Industrial Metals,Copper,Tons,27523.0,396339.515,122.953,Final Figures.
National,2001,August,Non-Ferrous Industrial Metals,Zinc,Tons,38345.0,318776.708,115.815,Final Figures.
National,2001,August,Non-Ferrous Industrial Metals,Antimony,Tons,0.0,0.0,0.0,Final Figures.
National,2001,August,Non-Ferrous Industrial Metals,Arsenic,Tons,216.0,1564.834,505.263,Final Figures.
National,2001,August,Non-Ferrous Industrial Metals,Bismuth,Tons,128.0,9200.966,135.689,Final Figures.
National,2001,August,Non-Ferrous Industrial Metals,Tin,Tons,1.0,24.123,48.0,Final Figures.
National,2001,August,Non-Ferrous Industrial Metals,Cadmium,Tons,133.0,669.436,104.516,Final Figures.
National,2001,August,Non-Ferrous Industrial Metals,Molybdenum,Tons,589.0,27671.555,90.476,Final Figures.
National,2001,August,Steel Metals and Minerals,Non-Coking Coal,Tons,586192.0,177205.968,67.62,Final Figures.
National,2001,August,Steel Metals and Minerals,Coke,Tons,168538.0,245844.695,130.701,Final Figures.
National,2001,August,Steel Metals and Minerals,Iron Pellets,Tons,458012.0,102090.97,71.139,Final Figures.
National,2001,August,Steel Metals and Minerals,Manganese,Tons,11860.0,10964.619,83.763,Final Figures.
National,2001,August,Non-Metallic Minerals,Sulfur,Tons,78527.0,42676.198,90.512,Final Figures.
National,2001,August,Non-Metallic Minerals,Graphite,Tons,524.0,1088.173,86.983,Final Figures.
National,2001,August,Non-Metallic Minerals,Barite,Tons,9471.0,6700.122,81.142,Final Figures.
National,2001,August,Non-Metallic Minerals,Dolomite,Tons,54910.0,10927.09,53.397,Final Figures.
National,2001,August,Non-Metallic Minerals,Fluorite,Tons,68555.0,69939.469,77.782,Final Figures.
National,2001,August,Non-Metallic Minerals,Kaolin,Tons,7818.0,5390.931,110.252,Final Figures.
National,2001,August,Non-Metallic Minerals,Silica Sand,Tons,137392.0,27939.484,59.326,Final Figures.
National,2001,August,Non-Metallic Minerals,Gypsum,Tons,232584.0,27461.201,54.351,Final Figures.
National,2001,August,Non-Metallic Minerals,Phosphate Rock,Tons,85725.0,29735.728,106.151,Final Figures.
National,2001,August,Non-Metallic Minerals,Wollastonite,Tons,3576.0,6977.262,91.606,Final Figures.
National,2001,August,Non-Metallic Minerals,Celestite,Tons,12889.0,6765.952,522.157,Final Figures.
National,2001,August,Non-Metallic Minerals,Feldspar,Tons,25575.0,10811.5,68.886,Final Figures.
National,2001,August,Non-Metallic Minerals,Salt,Tons,736084.0,82434.047,100.276,Final Figures.
National,2001,August,Non-Metallic Minerals,Diatomite,Tons,4171.0,7448.572,38.94,Final Figures.
National,2001,August,Non-Metallic Minerals,Sodium Sulfate,Tons,45000.0,34578.0,87.379,Final Figures.
National,2001,August,Non-Metallic Minerals,Magnesium Sulfate,Tons,2272.0,1969.395,63.327,Final Figures.
National,2001,September,Precious Metals,Gold,Kilograms,1771.3,151064.469,42.196,Final Figures.
National,2001,September,Precious Metals,Silver,Kilograms,225219.0,296189.686,101.297,Final Figures.
National,2001,September,Non-Ferrous Industrial Metals,Lead,Tons,8021.0,35055.217,95.559,Final Figures.
National,2001,September,Non-Ferrous Industrial Metals,Copper,Tons,24955.0,360206.964,111.481,Final Figures.
National,2001,September,Non-Ferrous Industrial Metals,Zinc,Tons,35156.0,291313.829,106.183,Final Figures.
National,2001,September,Non-Ferrous Industrial Metals,Antimony,Tons,0.0,0.0,0.0,Final Figures.
National,2001,September,Non-Ferrous Industrial Metals,Arsenic,Tons,196.0,1462.751,458.48,Final Figures.
National,2001,September,Non-Ferrous Industrial Metals,Bismuth,Tons,98.0,7102.758,103.887,Final Figures.
National,2001,September,Non-Ferrous Industrial Metals,Tin,Tons,0.0,0.0,0.0,Final Figures.
National,2001,September,Non-Ferrous Industrial Metals,Cadmium,Tons,119.0,616.341,92.129,Final Figures.
National,2001,September,Non-Ferrous Industrial Metals,Molybdenum,Tons,329.0,15857.735,50.538,Final Figures.
National,2001,September,Steel Metals and Minerals,Non-Coking Coal,Tons,674161.0,203798.996,77.768,Final Figures.
National,2001,September,Steel Metals and Minerals,Coke,Tons,160954.0,252898.973,124.82,Final Figures.
National,2001,September,Steel Metals and Minerals,Iron Pellets,Tons,412586.0,84312.043,64.083,Final Figures.
National,2001,September,Steel Metals and Minerals,Manganese,Tons,1311.0,1248.565,9.259,Final Figures.
National,2001,September,Non-Metallic Minerals,Sulfur,Tons,69602.0,46796.24,80.225,Final Figures.
National,2001,September,Non-Metallic Minerals,Graphite,Tons,462.0,988.344,76.691,Final Figures.
National,2001,September,Non-Metallic Minerals,Barite,Tons,11458.0,8350.172,98.165,Final Figures.
National,2001,September,Non-Metallic Minerals,Dolomite,Tons,55100.0,10964.9,53.582,Final Figures.
National,2001,September,Non-Metallic Minerals,Fluorite,Tons,50027.0,52575.985,56.76,Final Figures.
National,2001,September,Non-Metallic Minerals,Kaolin,Tons,7808.0,5647.632,110.111,Final Figures.
National,2001,September,Non-Metallic Minerals,Silica Sand,Tons,137908.0,29417.438,59.548,Final Figures.
National,2001,September,Non-Metallic Minerals,Gypsum,Tons,321504.0,39818.467,75.13,Final Figures.
National,2001,September,Non-Metallic Minerals,Phosphate Rock,Tons,72349.0,25852.403,89.588,Final Figures.
National,2001,September,Non-Metallic Minerals,Wollastonite,Tons,2956.0,5767.558,75.724,Final Figures.
